# t_unix,market,best_bid,best_bid_size,best_ask,best_ask_size
1786852143.265,btc_1h,0.57,5.0,0.58,340.0
1786852146.025,btc_4h,0.973,471.0,0.99,220.25
1786852146.638,btc_1h,0.57,5.0,0.58,332.0
1786852148.795,btc_4h,0.973,471.0,0.99,220.25
1786852149.409,btc_1h,0.57,13.0,0.58,327.0
1786852151.704,btc_4h,0.973,471.0,0.99,248.38
1786852152.275,btc_1h,0.57,25.0,0.58,327.0
1786852154.630,btc_4h,0.973,471.0,0.99,248.38
1786852155.225,btc_1h,0.57,5.0,0.58,327.0
1786852157.622,btc_4h,0.973,471.0,0.99,200.12
1786852158.317,btc_1h,0.57,33.0,0.58,327.0
1786852160.672,btc_4h,0.973,471.0,0.99,200.12
1786852161.286,btc_1h,0.57,5.0,0.58,327.0
1786852163.697,btc_4h,0.973,471.0,0.99,178.25
1786852164.226,btc_1h,0.57,5.0,0.58,317.0
1786852166.692,btc_4h,0.973,471.0,0.99,178.25
1786852167.195,btc_1h,0.57,33.0,0.58,347.0
1786852169.626,btc_4h,0.973,471.0,0.99,178.25
1786852170.095,btc_1h,0.57,33.0,0.58,317.0
1786852172.721,btc_4h,0.973,471.0,0.99,156.81
1786852173.372,btc_1h,0.58,13.0,0.59,63.0
1786852175.664,btc_4h,0.973,471.0,0.99,156.81
1786852176.192,btc_1h,0.58,5.0,0.59,73.0
1786852179.820,btc_4h,0.973,471.0,0.99,135.37
1786852180.309,btc_1h,0.58,5.0,0.59,538.0
1786852181.635,btc_4h,0.973,471.0,0.99,135.37
1786852182.278,btc_1h,0.58,5.0,0.59,360.0
1786852184.720,btc_4h,0.973,471.0,0.99,135.37
1786852185.218,btc_1h,0.58,5.0,0.59,330.0
1786852187.808,btc_4h,0.973,471.0,0.99,113.93
1786852188.361,btc_1h,0.58,5.0,0.59,360.0
1786852190.676,btc_4h,0.973,471.0,0.99,113.93
1786852191.181,btc_1h,0.58,5.0,0.59,510.0
1786852193.749,btc_4h,0.973,471.0,0.99,92.49
1786852194.342,btc_1h,0.58,5.0,0.59,388.0
1786852196.761,btc_4h,0.973,51.0,0.99,92.49
1786852197.299,btc_1h,0.58,80.87,0.59,15.0
1786852199.686,btc_4h,0.973,51.0,0.99,72.14
1786852200.238,btc_1h,0.58,88.87,0.59,20.0
1786852202.657,btc_4h,0.973,51.0,0.99,72.14
1786852203.167,btc_1h,0.58,83.0,0.59,10.0
1786852205.729,btc_4h,0.973,51.0,0.99,72.14
1786852206.491,btc_1h,0.58,91.0,0.59,15.0
1786852208.698,btc_4h,0.973,51.0,0.99,51.79
1786852209.312,btc_1h,0.58,99.0,0.59,15.0
1786852211.872,btc_4h,0.973,51.0,0.99,51.79
1786852212.587,btc_1h,0.58,114.0,0.59,15.0
# error btc_4h: [WinError 10054] An existing connection was forcibly closed by the remote host
1786852215.353,btc_1h,0.58,114.0,0.59,15.0
1786852217.609,btc_4h,0.973,51.0,0.99,16.44
1786852218.311,btc_1h,0.58,114.0,0.59,15.0
1786852220.840,btc_4h,0.973,51.0,0.99,16.44
# error btc_1h: <urlopen error [SSL: DECRYPTION_FAILED_OR_BAD_RECORD_MAC] decryption failed or bad record mac (_ssl.c:1081)>
1786852223.852,btc_4h,0.973,51.0,0.999,1015.0
1786852224.468,btc_1h,0.62,141.87,0.63,166.0
# error btc_4h: [SSL: SSLV3_ALERT_BAD_RECORD_MAC] sslv3 alert bad record mac (_ssl.c:2711)
1786852227.334,btc_1h,0.62,68.87,0.63,116.0
1786852229.771,btc_4h,0.973,51.0,0.999,1025.0
1786852230.503,btc_1h,0.61,110.0,0.62,36.0
1786852232.677,btc_4h,0.973,51.0,0.998,100.0
1786852233.170,btc_1h,0.61,141.0,0.62,320.0
1786852235.738,btc_4h,0.973,51.0,0.998,110.0
# error btc_1h: <urlopen error [SSL: DECRYPTION_FAILED_OR_BAD_RECORD_MAC] decryption failed or bad record mac (_ssl.c:1081)>
1786852239.148,btc_4h,0.973,51.0,0.998,110.0
1786852239.790,btc_1h,0.63,84.87,0.64,65.0
1786852241.669,btc_4h,0.973,81.0,0.998,110.0
1786852242.185,btc_1h,0.63,79.0,0.64,70.0
1786852244.822,btc_4h,0.961,430.0,0.996,420.0
1786852245.307,btc_1h,0.63,5.0,0.64,546.0
1786852247.711,btc_4h,0.961,430.0,0.995,4.97
1786852248.311,btc_1h,0.63,165.87,0.64,68.43
1786852250.733,btc_4h,0.961,430.0,0.995,4.97
1786852251.242,btc_1h,0.63,132.0,0.64,96.43
1786852253.651,btc_4h,0.961,430.0,0.995,4.97
1786852254.166,btc_1h,0.63,146.87,0.64,63.43
1786852256.728,btc_4h,0.961,430.0,0.995,4.97
1786852257.338,btc_1h,0.63,96.0,0.64,395.43
1786852260.102,btc_4h,0.961,430.0,0.995,4.97
1786852260.566,btc_1h,0.63,80.0,0.64,395.43
1786852262.764,btc_4h,0.961,430.0,0.995,4.97
1786852263.473,btc_1h,0.63,80.0,0.64,395.43
1786852265.627,btc_4h,0.961,430.0,0.995,4.97
1786852266.143,btc_1h,0.63,88.0,0.64,395.43
1786852268.650,btc_4h,0.962,420.0,0.996,420.0
1786852269.215,btc_1h,0.63,88.0,0.64,395.43
1786852271.774,btc_4h,0.962,420.0,0.995,10.0
1786852272.391,btc_1h,0.63,146.0,0.64,392.43
1786852274.796,btc_4h,0.962,420.0,0.995,10.0
1786852275.360,btc_1h,0.63,116.0,0.64,392.43
1786852277.697,btc_4h,0.962,420.0,0.995,10.0
1786852278.251,btc_1h,0.63,208.0,0.64,73.43
1786852280.817,btc_4h,0.964,650.0,0.995,10.0
1786852281.400,btc_1h,0.64,95.0,0.65,453.0
1786852283.756,btc_4h,0.964,650.0,0.995,10.0
1786852284.369,btc_1h,0.64,95.0,0.65,466.0
# error btc_4h: <urlopen error [SSL: SSLV3_ALERT_ILLEGAL_PARAMETER] sslv3 alert illegal parameter (_ssl.c:1081)>
1786852287.110,btc_1h,0.64,95.0,0.65,456.25
1786852289.796,btc_4h,0.98,5.0,0.996,420.0
1786852290.259,btc_1h,0.64,25.0,0.65,456.25
1786852292.635,btc_4h,0.98,5.0,0.996,420.0
1786852293.077,btc_1h,0.64,124.0,0.65,428.25
1786852295.839,btc_4h,0.98,5.0,0.996,420.0
# error btc_1h: [SSL: SSLV3_ALERT_BAD_RECORD_MAC] sslv3 alert bad record mac (_ssl.c:2711)
1786852298.652,btc_4h,0.981,51.0,0.998,100.0
1786852299.200,btc_1h,0.64,492.87,0.65,10.25
1786852301.880,btc_4h,0.981,521.0,0.998,100.0
# error btc_1h: <urlopen error [SSL: DECRYPTION_FAILED_OR_BAD_RECORD_MAC] decryption failed or bad record mac (_ssl.c:1081)>
1786852304.749,btc_4h,0.981,521.0,0.998,520.0
1786852305.439,btc_1h,0.65,75.0,0.66,121.96
1786852307.705,btc_4h,0.981,471.0,0.998,520.0
1786852308.331,btc_1h,0.65,75.0,0.66,601.39
1786852310.790,btc_4h,0.981,471.0,0.997,420.0
1786852311.327,btc_1h,0.65,75.0,0.66,481.39
1786852313.758,btc_4h,0.981,471.0,0.997,420.0
1786852314.270,btc_1h,0.65,75.0,0.66,481.39
1786852316.910,btc_4h,0.981,471.0,0.997,420.0
1786852317.548,btc_1h,0.65,75.0,0.66,136.39
1786852319.664,btc_4h,0.981,521.0,0.997,420.0
1786852320.215,btc_1h,0.65,75.0,0.66,479.39
1786852322.691,btc_4h,0.981,521.0,0.997,420.0
1786852323.190,btc_1h,0.63,105.0,0.64,24.0
1786852325.739,btc_4h,0.981,521.0,0.997,420.0
1786852326.334,btc_1h,0.63,75.0,0.64,16.71
1786852328.690,btc_4h,0.981,521.0,0.997,420.0
1786852329.220,btc_1h,0.62,204.0,0.63,318.86
1786852331.690,btc_4h,0.981,521.0,0.997,420.0
1786852332.291,btc_1h,0.62,188.0,0.63,317.84
1786852335.499,btc_4h,0.981,521.0,0.997,420.0
1786852336.014,btc_1h,0.62,204.0,0.63,317.84
1786852337.693,btc_4h,0.981,521.0,0.997,420.0
1786852338.437,btc_1h,0.62,166.0,0.63,317.84
1786852340.806,btc_4h,0.981,521.0,0.997,420.0
1786852341.304,btc_1h,0.62,196.0,0.63,305.73
1786852343.696,btc_4h,0.981,521.0,0.997,420.0
1786852344.304,btc_1h,0.62,145.0,0.63,305.73
1786852346.720,btc_4h,0.981,521.0,0.997,420.0
1786852347.445,btc_1h,0.62,175.0,0.63,6.0
1786852349.987,btc_4h,0.981,521.0,0.997,420.0
1786852350.473,btc_1h,0.64,24.0,0.65,170.0
1786852352.672,btc_4h,0.981,521.0,0.997,420.0
1786852353.236,btc_1h,0.62,116.0,0.64,5.0
1786852355.935,btc_4h,0.981,521.0,0.997,420.0
1786852356.383,btc_1h,0.63,75.0,0.64,7.0
1786852358.728,btc_4h,0.981,521.0,0.997,420.0
1786852359.249,btc_1h,0.63,99.0,0.65,490.0
1786852361.737,btc_4h,0.981,521.0,0.997,420.0
1786852362.347,btc_1h,0.63,127.0,0.64,5.0
1786852364.726,btc_4h,0.981,521.0,0.998,520.0
1786852365.349,btc_1h,0.63,46.0,0.65,490.0
1786852367.825,btc_4h,0.981,521.0,0.998,520.0
1786852368.439,btc_1h,0.64,75.0,0.65,485.0
1786852370.703,btc_4h,0.981,521.0,0.998,505.45
1786852371.268,btc_1h,0.64,75.0,0.65,447.0
1786852373.866,btc_4h,0.981,521.0,0.998,505.45
# error btc_1h: [SSL: SSLV3_ALERT_BAD_RECORD_MAC] sslv3 alert bad record mac (_ssl.c:2711)
1786852376.733,btc_4h,0.981,521.0,0.998,505.45
1786852377.269,btc_1h,0.64,75.0,0.65,410.0
1786852379.679,btc_4h,0.981,521.0,0.998,505.45
1786852380.313,btc_1h,0.64,75.0,0.65,415.0
1786852382.750,btc_4h,0.981,521.0,0.998,505.45
1786852383.390,btc_1h,0.64,75.0,0.65,416.0
1786852386.769,btc_4h,0.981,521.0,0.998,505.45
1786852387.389,btc_1h,0.64,105.0,0.65,325.0
1786852388.816,btc_4h,0.981,521.0,0.998,505.45
1786852389.430,btc_1h,0.64,119.0,0.65,325.0
1786852391.676,btc_4h,0.981,521.0,0.998,505.45
1786852392.170,btc_1h,0.64,119.0,0.65,320.0
1786852394.660,btc_4h,0.981,521.0,0.998,505.45
1786852395.238,btc_1h,0.64,149.0,0.65,320.0
1786852397.747,btc_4h,0.981,521.0,0.998,505.45
1786852398.275,btc_1h,0.63,108.0,0.65,347.46
1786852400.798,btc_4h,0.981,521.0,0.998,505.45
1786852401.301,btc_1h,0.63,214.0,0.64,36.0
1786852403.770,btc_4h,0.981,521.0,0.998,505.45
1786852404.376,btc_1h,0.64,103.0,0.65,298.46
1786852406.809,btc_4h,0.981,521.0,0.998,505.45
1786852407.412,btc_1h,0.64,103.0,0.65,288.46
1786852409.745,btc_4h,0.981,521.0,0.998,505.45
1786852410.619,btc_1h,0.64,191.0,0.65,5.0
1786852412.777,btc_4h,0.981,521.0,0.998,505.45
1786852413.382,btc_1h,0.64,69.0,0.65,5.0
1786852415.839,btc_4h,0.981,521.0,0.998,505.45
1786852416.567,btc_1h,0.64,157.0,0.65,5.0
1786852418.719,btc_4h,0.981,521.0,0.998,505.45
1786852419.280,btc_1h,0.64,206.0,0.65,5.05
1786852421.725,btc_4h,0.981,470.0,0.998,85.45
1786852422.300,btc_1h,0.64,199.0,0.65,2.35
1786852424.775,btc_4h,0.981,470.0,0.998,85.45
1786852425.476,btc_1h,0.64,175.0,0.65,2.35
# error btc_4h: <urlopen error [SSL: SSLV3_ALERT_HANDSHAKE_FAILURE] sslv3 alert handshake failure (_ssl.c:1081)>
1786852428.751,btc_1h,0.64,206.0,0.65,2.35
1786852430.714,btc_4h,0.988,50.55,0.998,85.45
1786852431.194,btc_1h,0.64,141.0,0.65,12.35
1786852433.771,btc_4h,0.988,50.55,0.998,85.45
1786852434.383,btc_1h,0.64,154.0,0.65,7.35
1786852436.913,btc_4h,0.988,50.55,0.998,85.45
1786852437.549,btc_1h,0.64,162.0,0.65,18.35
1786852439.709,btc_4h,0.988,470.55,0.998,85.45
1786852440.273,btc_1h,0.64,534.0,0.65,11.35
1786852442.781,btc_4h,0.988,520.55,0.998,85.45
1786852443.366,btc_1h,0.64,503.0,0.65,11.35
1786852445.749,btc_4h,0.988,520.55,0.998,85.45
1786852446.296,btc_1h,0.64,518.0,0.65,16.35
1786852448.924,btc_4h,0.988,520.55,0.998,85.45
1786852449.436,btc_1h,0.64,520.0,0.65,19.91
1786852451.895,btc_4h,0.988,520.55,0.998,85.45
1786852452.407,btc_1h,0.64,450.0,0.65,47.91
1786852454.736,btc_4h,0.988,520.55,0.998,85.45
1786852455.273,btc_1h,0.64,465.0,0.65,47.91
1786852457.833,btc_4h,0.988,437.21,0.998,85.45
1786852458.289,btc_1h,0.64,465.0,0.65,44.77
1786852460.744,btc_4h,0.988,437.21,0.998,85.45
1786852461.314,btc_1h,0.64,511.0,0.65,5.0
1786852463.633,btc_4h,0.988,437.21,0.998,85.45
1786852464.187,btc_1h,0.64,520.0,0.65,5.0
1786852466.672,btc_4h,0.988,437.21,0.998,85.45
1786852467.558,btc_1h,0.64,535.0,0.65,16.0
1786852469.813,btc_4h,0.988,437.21,0.998,85.45
1786852470.531,btc_1h,0.64,389.0,0.65,38.0
1786852472.783,btc_4h,0.988,437.21,0.998,85.45
1786852473.388,btc_1h,0.64,464.0,0.65,49.0
1786852475.837,btc_4h,0.988,437.21,0.998,85.45
1786852476.415,btc_1h,0.65,435.0,0.66,33.0
1786852479.910,btc_4h,0.988,437.21,0.998,85.45
1786852480.402,btc_1h,0.66,5.0,0.67,130.09
1786852481.692,btc_4h,0.988,437.21,0.998,85.45
1786852482.270,btc_1h,0.66,110.0,0.67,130.09
1786852484.764,btc_4h,0.988,437.21,0.998,85.45
1786852485.377,btc_1h,0.66,149.0,0.67,119.01
1786852487.796,btc_4h,0.989,50.55,0.998,85.45
1786852488.273,btc_1h,0.66,134.0,0.67,50.0
1786852490.704,btc_4h,0.989,470.55,0.998,85.45
1786852491.218,btc_1h,0.66,134.0,0.67,46.09
1786852493.785,btc_4h,0.989,470.55,0.99,74.2
1786852494.287,btc_1h,0.66,134.0,0.67,46.09
1786852496.829,btc_4h,0.989,50.55,0.99,4.45
1786852497.450,btc_1h,0.66,75.0,0.67,117.0
1786852499.714,btc_4h,0.989,50.55,0.998,85.45
1786852500.421,btc_1h,0.46,77.0,0.48,23.0
1786852502.860,btc_4h,0.989,50.55,0.998,85.45
1786852503.385,btc_1h,0.4,8.0,0.41,171.0
1786852505.960,btc_4h,0.989,50.55,0.998,85.45
1786852506.473,btc_1h,0.39,62.43,0.4,460.0
1786852508.827,btc_4h,0.989,50.55,0.995,50.0
1786852509.436,btc_1h,0.39,54.43,0.4,460.0
1786852511.814,btc_4h,0.989,50.55,0.995,50.0
1786852512.372,btc_1h,0.39,74.74,0.4,20.0
1786852514.777,btc_4h,0.989,50.55,0.995,50.0
1786852515.344,btc_1h,0.39,48.0,0.4,25.0
1786852517.677,btc_4h,0.989,50.55,0.995,50.0
1786852518.147,btc_1h,0.39,56.0,0.4,25.0
1786852520.731,btc_4h,0.989,50.55,0.995,50.0
# error btc_1h: [SSL: SSLV3_ALERT_BAD_RECORD_MAC] sslv3 alert bad record mac (_ssl.c:2711)
# error btc_4h: <urlopen error [SSL: SSLV3_ALERT_ILLEGAL_PARAMETER] sslv3 alert illegal parameter (_ssl.c:1081)>
1786852524.085,btc_1h,0.39,38.04,0.4,153.0
1786852526.749,btc_4h,0.989,50.55,0.995,50.0
1786852527.361,btc_1h,0.37,69.0,0.38,20.0
# error btc_4h: [SSL: SSLV3_ALERT_BAD_RECORD_MAC] sslv3 alert bad record mac (_ssl.c:2711)
1786852530.229,btc_1h,0.37,53.0,0.38,20.0
1786852532.661,btc_4h,0.989,50.55,0.995,50.0
1786852533.199,btc_1h,0.36,355.0,0.37,20.0
1786852535.899,btc_4h,0.989,50.55,0.995,50.0
1786852536.419,btc_1h,0.39,40.0,0.4,20.0
1786852538.845,btc_4h,0.989,470.55,0.995,50.0
1786852539.382,btc_1h,0.39,55.0,0.4,70.0
1786852541.800,btc_4h,0.989,470.55,0.995,50.0
1786852542.421,btc_1h,0.41,48.0,0.42,33.0
1786852544.770,btc_4h,0.989,470.55,0.995,50.0
1786852545.314,btc_1h,0.41,35.0,0.42,53.0
1786852547.679,btc_4h,0.989,470.55,0.995,50.0
1786852548.251,btc_1h,0.41,35.0,0.42,33.0
1786852551.264,btc_4h,0.989,470.55,0.995,50.0
1786852551.836,btc_1h,0.41,35.0,0.42,33.0
1786852553.660,btc_4h,0.989,470.55,0.995,50.0
1786852554.201,btc_1h,0.41,35.0,0.42,33.0
1786852556.854,btc_4h,0.989,470.55,0.995,50.0
1786852557.381,btc_1h,0.37,30.0,0.41,10.0
1786852559.693,btc_4h,0.989,470.55,0.995,50.0
1786852560.197,btc_1h,0.41,9.0,0.42,90.0
1786852562.652,btc_4h,0.989,470.55,0.995,50.0
1786852563.201,btc_1h,0.41,5.0,0.42,75.0
# error btc_4h: <urlopen error [SSL: SSLV3_ALERT_ILLEGAL_PARAMETER] sslv3 alert illegal parameter (_ssl.c:1081)>
1786852566.172,btc_1h,0.41,5.0,0.42,82.5
1786852568.732,btc_4h,0.989,470.55,0.995,50.0
1786852569.215,btc_1h,0.39,8.0,0.4,9.8
1786852571.803,btc_4h,0.989,470.55,0.995,50.0
# error btc_1h: [SSL: SSLV3_ALERT_BAD_RECORD_MAC] sslv3 alert bad record mac (_ssl.c:2711)
1786852574.660,btc_4h,0.989,470.55,0.995,50.0
1786852575.120,btc_1h,0.39,319.19,0.4,9.8
1786852577.727,btc_4h,0.989,470.55,0.995,50.0
1786852578.222,btc_1h,0.39,347.19,0.41,28.0
1786852580.712,btc_4h,0.989,470.55,0.995,50.0
# error btc_1h: <urlopen error [SSL: SSLV3_ALERT_HANDSHAKE_FAILURE] sslv3 alert handshake failure (_ssl.c:1081)>
1786852583.785,btc_4h,0.989,470.55,0.995,50.0
1786852584.292,btc_1h,0.4,351.0,0.42,75.0
1786852586.848,btc_4h,0.989,470.55,0.995,50.0
1786852587.326,btc_1h,0.4,351.0,0.42,75.0
1786852589.828,btc_4h,0.989,470.55,0.995,50.0
1786852590.422,btc_1h,0.4,349.0,0.41,28.0
1786852592.857,btc_4h,0.989,470.55,0.995,50.0
1786852593.408,btc_1h,0.4,328.0,0.41,28.0
# error btc_4h: [SSL: SSLV3_ALERT_BAD_RECORD_MAC] sslv3 alert bad record mac (_ssl.c:2711)
1786852596.396,btc_1h,0.4,322.86,0.41,37.8
1786852598.733,btc_4h,0.989,470.55,0.995,50.0
1786852599.347,btc_1h,0.4,337.86,0.41,37.8
1786852601.908,btc_4h,0.989,470.55,0.995,50.0
1786852602.522,btc_1h,0.4,328.06,0.41,28.0
1786852604.854,btc_4h,0.989,470.55,0.995,50.0
1786852605.365,btc_1h,0.41,20.0,0.42,70.0
1786852607.744,btc_4h,0.989,470.55,0.995,50.0
1786852608.205,btc_1h,0.4,315.06,0.41,138.16
# error btc_4h: <urlopen error [SSL: DECRYPTION_FAILED_OR_BAD_RECORD_MAC] decryption failed or bad record mac (_ssl.c:1081)>
1786852611.042,btc_1h,0.4,295.06,0.41,37.0
1786852613.889,btc_4h,0.989,470.55,0.995,50.0
1786852614.503,btc_1h,0.38,27.0,0.39,94.76
1786852616.756,btc_4h,0.989,470.55,0.995,50.0
# error btc_1h: [SSL: SSLV3_ALERT_BAD_RECORD_MAC] sslv3 alert bad record mac (_ssl.c:2711)
1786852619.749,btc_4h,0.989,470.55,0.995,50.0
1786852620.441,btc_1h,0.36,49.0,0.38,14.0
1786852622.695,btc_4h,0.989,470.55,0.995,50.0
1786852623.504,btc_1h,0.36,26.37,0.39,112.44
1786852625.988,btc_4h,0.989,470.55,0.995,50.0
1786852626.714,btc_1h,0.37,21.0,0.38,20.0
1786852628.800,btc_4h,0.989,470.55,0.995,50.0
# error btc_1h: [SSL: SSLV3_ALERT_BAD_RECORD_MAC] sslv3 alert bad record mac (_ssl.c:2711)
# error btc_4h: [WinError 10054] An existing connection was forcibly closed by the remote host
1786852632.349,btc_1h,0.36,315.0,0.37,20.0
1786852634.778,btc_4h,0.989,470.55,0.995,50.0
1786852636.404,btc_1h,0.37,322.0,0.38,90.0
1786852638.096,btc_4h,0.989,470.55,0.995,50.0
1786852638.836,btc_1h,0.37,320.0,0.38,20.0
1786852640.694,btc_4h,0.989,470.55,0.995,50.0
1786852641.333,btc_1h,0.37,315.0,0.38,20.0
1786852643.930,btc_4h,0.989,470.55,0.995,50.0
1786852644.506,btc_1h,0.37,315.0,0.38,20.0
1786852646.761,btc_4h,0.989,470.55,0.995,50.0
1786852647.385,btc_1h,0.37,223.39,0.38,48.0
1786852649.727,btc_4h,0.989,470.55,0.995,50.0
1786852650.207,btc_1h,0.34,370.0,0.35,20.0
1786852652.783,btc_4h,0.989,470.55,0.995,50.0
1786852653.311,btc_1h,0.34,270.0,0.35,20.0
1786852655.867,btc_4h,0.989,470.55,0.995,50.0
1786852656.424,btc_1h,0.32,74.16,0.35,20.0
1786852658.841,btc_4h,0.989,470.55,0.995,50.0
1786852659.455,btc_1h,0.33,7.0,0.34,20.0
1786852661.811,btc_4h,0.989,470.55,0.995,50.0
1786852662.323,btc_1h,0.32,389.16,0.35,20.0
1786852664.881,btc_4h,0.989,470.55,0.995,50.0
1786852665.497,btc_1h,0.32,395.16,0.33,20.0
1786852667.853,btc_4h,0.989,470.55,0.995,50.0
1786852668.553,btc_1h,0.32,351.0,0.33,20.0
1786852670.741,btc_4h,0.989,470.55,0.995,50.0
1786852671.317,btc_1h,0.32,351.0,0.33,20.0
1786852673.664,btc_4h,0.989,50.55,0.995,50.0
1786852674.201,btc_1h,0.33,5.0,0.34,20.0
1786852677.048,btc_4h,0.989,470.55,0.995,50.0
1786852677.547,btc_1h,0.33,5.0,0.34,20.0
1786852679.747,btc_4h,0.989,470.55,0.995,50.0
1786852680.345,btc_1h,0.33,5.0,0.34,20.0
1786852682.802,btc_4h,0.989,470.55,0.995,50.0
1786852683.417,btc_1h,0.33,10.0,0.34,20.0
1786852685.856,btc_4h,0.989,470.55,0.995,50.0
1786852686.378,btc_1h,0.61,67.92,0.62,32.0
1786852688.760,btc_4h,0.989,470.55,0.995,50.0
1786852689.315,btc_1h,0.57,86.11,0.6,5.0
1786852691.812,btc_4h,0.989,470.55,0.995,50.0
